Risk,Sex,Job,Housing,Saving_accounts,Checking_account,Credit_amount,Duration,Purpose,Age
1,male,2,own,not_known,little,1169,6,radio/TV,67
0,female,2,own,little,moderate,5951,48,radio/TV,22
1,male,1,own,little,not_known,2096,12,education,49
1,male,2,free,little,little,7882,42,furniture/equipment,45
0,male,2,free,little,little,4870,24,car,53
1,male,1,free,not_known,not_known,9055,36,education,35
1,male,2,own,quite rich,not_known,2835,24,furniture/equipment,53
1,male,3,rent,little,moderate,6948,36,car,35
1,male,1,own,rich,not_known,3059,12,radio/TV,61
0,male,3,own,little,moderate,5234,30,car,28
0,female,2,rent,little,moderate,1295,12,car,25
0,female,2,rent,little,little,4308,48,business,24
1,female,2,own,little,moderate,1567,12,radio/TV,22
0,male,1,own,little,little,1199,24,car,60
1,female,2,rent,little,little,1403,15,car,28
0,female,1,own,moderate,little,1282,24,radio/TV,32
1,male,2,own,not_known,not_known,2424,24,radio/TV,53
1,male,2,own,not_known,little,8072,30,business,25
0,female,3,free,little,moderate,12579,24,car,44
1,male,2,own,quite rich,not_known,3430,24,radio/TV,31
1,male,2,own,little,not_known,2134,9,car,48
1,male,2,rent,quite rich,little,2647,6,radio/TV,44
1,male,1,rent,little,little,2241,10,car,48
1,male,2,own,moderate,moderate,1804,12,car,44
1,male,2,own,not_known,not_known,2069,10,furniture/equipment,26
1,male,1,own,little,little,1374,6,furniture/equipment,36
1,male,1,own,little,not_known,426,6,radio/TV,39
1,female,2,rent,rich,rich,409,12,radio/TV,42
1,male,2,own,little,moderate,2415,7,radio/TV,34
0,male,2,own,little,little,6836,60,business,63
1,male,2,own,rich,moderate,1913,18,business,36
1,male,2,own,little,little,4020,24,furniture/equipment,27
1,male,2,own,moderate,moderate,5866,18,car,30
1,male,1,rent,not_known,not_known,1264,12,business,57
1,female,3,own,little,rich,1474,12,furniture/equipment,33
0,male,1,own,little,moderate,4746,45,radio/TV,25
1,male,2,free,little,not_known,6110,48,education,31
0,male,2,own,little,rich,2100,18,radio/TV,37
1,male,2,own,little,rich,1225,10,domestic appliances,37
1,male,2,own,little,moderate,458,9,radio/TV,24
1,male,3,own,quite rich,not_known,2333,30,radio/TV,30
1,male,2,own,quite rich,moderate,1158,12,radio/TV,26
1,male,1,own,little,moderate,6204,18,repairs,44
1,male,2,rent,moderate,little,6187,30,car,24
0,female,1,free,little,little,6143,48,car,58
1,female,3,own,little,not_known,1393,11,car,35
1,male,2,own,quite rich,not_known,2299,36,radio/TV,39
1,female,0,rent,quite rich,little,1352,6,car,23
1,male,1,own,little,not_known,7228,11,car,39
1,female,2,own,moderate,not_known,2073,12,radio/TV,28
1,male,1,own,not_known,moderate,2333,24,furniture/equipment,29
1,male,3,own,little,moderate,5965,27,car,30
1,male,2,own,little,not_known,1262,12,radio/TV,25
1,male,2,own,not_known,not_known,3378,18,car,31
0,male,2,free,little,moderate,2225,36,car,57
1,male,1,own,not_known,not_known,783,6,car,26
0,male,3,own,not_known,moderate,6468,12,radio/TV,52
1,female,2,own,little,not_known,9566,36,radio/TV,31
1,female,3,own,little,rich,1961,18,car,23
0,female,1,rent,little,little,6229,36,furniture/equipment,23
1,male,2,own,little,moderate,1391,9,business,27
1,male,2,own,not_known,moderate,1537,15,radio/TV,50
0,male,3,free,little,moderate,1953,36,business,61
0,male,2,own,little,moderate,14421,48,business,25
1,female,2,own,little,not_known,3181,24,radio/TV,26
1,male,2,own,not_known,not_known,5190,27,repairs,48
1,female,2,own,little,not_known,2171,12,radio/TV,29
1,male,2,own,rich,moderate,1007,12,car,22
0,male,2,free,little,not_known,1819,36,education,37
1,female,2,own,not_known,not_known,2394,36,radio/TV,25
1,female,2,own,little,not_known,8133,36,car,30
1,male,1,rent,not_known,not_known,730,7,radio/TV,46
1,male,3,free,little,little,1164,8,vacation/others,51
1,female,1,own,little,moderate,5954,42,business,41
0,male,3,own,not_known,little,1977,36,education,40
1,male,3,free,little,little,1526,12,car,66
0,male,2,own,little,little,3965,42,radio/TV,34
1,male,2,own,little,moderate,4771,11,radio/TV,51
1,male,1,own,not_known,not_known,9436,54,car,39
1,male,2,own,little,moderate,3832,30,furniture/equipment,22
0,female,2,own,not_known,not_known,5943,24,radio/TV,44
1,male,2,own,quite rich,not_known,1213,15,radio/TV,47
1,female,1,rent,moderate,not_known,1568,18,business,24
1,female,1,own,little,little,1755,24,vacation/others,58
1,male,1,own,little,little,2315,10,radio/TV,52
1,female,3,own,little,not_known,1412,12,business,29
1,female,2,own,little,moderate,1295,18,furniture/equipment,27
0,male,2,free,moderate,moderate,12612,36,education,47
1,male,3,own,moderate,little,2249,18,car,30
0,male,2,own,little,little,1108,12,repairs,28
1,male,2,own,little,not_known,618,12,radio/TV,56
1,male,2,own,little,little,1409,12,car,54
0,female,1,own,not_known,not_known,797,12,radio/TV,33
1,male,2,rent,not_known,rich,3617,24,furniture/equipment,20
1,male,2,own,rich,moderate,1318,12,car,54
0,male,2,rent,little,moderate,15945,54,business,58
1,female,2,own,not_known,not_known,2012,12,education,61
1,male,2,own,moderate,moderate,2622,18,business,34
1,male,2,own,little,moderate,2337,36,radio/TV,36
1,male,3,rent,not_known,moderate,7057,20,car,36
1,male,1,rent,moderate,not_known,1469,24,car,41
1,male,2,rent,little,moderate,2323,36,radio/TV,24
1,female,2,own,little,not_known,932,6,radio/TV,24
1,male,2,rent,little,moderate,1919,9,furniture/equipment,35
1,male,2,rent,not_known,not_known,2445,12,car,26
0,male,3,own,little,moderate,11938,24,vacation/others,39
0,male,3,own,little,not_known,6458,18,car,39
1,male,2,own,little,moderate,6078,12,car,32
1,female,2,own,not_known,little,7721,24,furniture/equipment,30
1,male,2,own,quite rich,moderate,1410,14,business,35
1,male,2,own,moderate,moderate,1449,6,business,31
1,female,2,rent,little,rich,392,15,education,23
1,male,1,rent,little,moderate,6260,18,car,28
0,female,2,own,little,not_known,7855,36,car,25
1,male,2,own,quite rich,little,1680,12,radio/TV,35
1,male,2,own,not_known,not_known,3578,48,radio/TV,47
0,female,3,own,not_known,little,7174,42,radio/TV,30
1,female,2,rent,not_known,little,2132,10,furniture/equipment,27
0,female,2,own,quite rich,little,4281,33,furniture/equipment,23
1,male,3,own,quite rich,moderate,2366,12,car,36
0,female,2,own,little,little,1835,21,radio/TV,25
1,female,3,rent,little,not_known,3868,24,car,41
1,male,1,rent,little,not_known,1768,12,furniture/equipment,24
1,male,2,free,little,rich,781,10,car,63
0,female,2,rent,not_known,moderate,1924,18,furniture/equipment,27
1,male,2,own,little,little,2121,12,car,30
1,male,1,own,little,little,701,12,radio/TV,40
0,male,2,own,little,moderate,639,12,repairs,30
1,male,3,own,little,moderate,1860,12,car,34
0,female,2,own,little,little,3499,12,car,29
1,female,2,own,not_known,moderate,8487,48,car,24
0,male,2,own,little,little,6887,36,education,29
1,male,1,own,little,not_known,2708,15,furniture/equipment,27
1,male,2,free,little,not_known,1984,18,furniture/equipment,47
1,female,2,own,moderate,not_known,10144,60,radio/TV,21
1,female,2,own,not_known,not_known,1240,12,radio/TV,38
1,male,2,own,rich,not_known,8613,27,car,27
0,male,1,own,quite rich,moderate,766,12,radio/TV,66
1,male,2,own,not_known,moderate,2728,15,radio/TV,35
1,female,1,rent,little,rich,1881,12,radio/TV,44
1,male,0,own,rich,rich,709,6,car,27
1,female,3,own,little,moderate,4795,36,radio/TV,30
1,male,3,own,little,little,3416,27,radio/TV,27
0,male,2,own,little,little,2462,18,furniture/equipment,22
1,female,2,own,little,not_known,2288,21,furniture/equipment,23
1,male,2,own,moderate,moderate,3566,48,business,30
1,female,2,own,little,little,860,6,car,39
1,female,2,own,moderate,not_known,682,12,car,51
1,male,2,own,little,little,5371,36,furniture/equipment,28
1,male,2,own,rich,not_known,1582,18,radio/TV,46
1,male,2,free,moderate,not_known,1346,6,radio/TV,42
1,male,2,own,little,not_known,1924,10,radio/TV,38
1,male,2,own,little,rich,5848,36,radio/TV,24
1,female,2,rent,rich,moderate,7758,24,car,29
1,male,3,rent,moderate,moderate,6967,24,business,36
0,female,2,rent,little,little,1282,12,furniture/equipment,20
1,male,2,own,moderate,little,1288,9,repairs,48
1,male,1,own,little,little,339,12,education,45
1,male,2,own,moderate,moderate,3512,24,car,38
1,male,1,own,not_known,not_known,1898,6,radio/TV,34
1,male,2,own,moderate,not_known,2872,24,radio/TV,36
1,female,2,own,little,not_known,1055,18,car,30
1,male,2,own,quite rich,not_known,1262,15,domestic appliances,36
1,male,3,free,little,moderate,7308,10,car,70
1,male,2,own,quite rich,not_known,909,36,car,36
1,male,2,own,quite rich,not_known,2978,6,furniture/equipment,32
0,female,2,own,little,little,1131,18,furniture/equipment,33
1,female,2,own,rich,moderate,1577,11,furniture/equipment,20
1,female,2,rent,little,not_known,3972,24,furniture/equipment,25
0,male,2,own,little,moderate,1935,24,business,31
0,male,2,rent,little,little,950,15,car,33
1,female,2,own,little,not_known,763,12,furniture/equipment,26
0,female,3,own,little,moderate,2064,24,furniture/equipment,34
1,male,2,own,little,moderate,1414,8,radio/TV,33
0,male,2,own,little,little,3414,21,education,26
0,female,3,own,not_known,not_known,7485,30,car,53
1,male,2,own,little,little,2577,12,furniture/equipment,42
1,male,2,own,quite rich,little,338,6,radio/TV,52
1,male,3,rent,little,not_known,1963,12,radio/TV,31
1,male,2,own,little,little,571,21,car,65
0,male,2,own,little,not_known,9572,36,business,28
0,male,3,own,little,moderate,4455,36,business,30
0,male,1,own,not_known,little,1647,21,car,40
1,male,2,own,rich,not_known,3777,24,furniture/equipment,50
0,male,2,own,little,moderate,884,18,car,36
1,male,2,own,little,not_known,1360,15,radio/TV,31
0,female,3,free,little,moderate,5129,9,car,74
1,male,0,free,little,moderate,1175,16,car,68
0,male,2,own,moderate,little,674,12,radio/TV,20
1,female,2,own,little,moderate,3244,18,furniture/equipment,33
0,male,3,own,rich,not_known,4591,24,business,54
0,male,1,free,moderate,moderate,3844,48,business,34
0,male,2,own,little,moderate,3915,27,business,36
1,male,2,rent,little,not_known,2108,6,radio/TV,29
0,male,2,rent,moderate,moderate,3031,45,radio/TV,21
0,female,3,own,little,moderate,1501,9,education,34
1,female,2,own,little,not_known,1382,6,radio/TV,28
0,female,2,rent,moderate,moderate,951,12,furniture/equipment,27
1,male,2,free,not_known,moderate,2760,24,car,36
0,male,3,own,little,moderate,4297,18,furniture/equipment,40
1,male,2,own,quite rich,not_known,936,9,education,52
1,male,1,own,little,little,1168,12,car,27
1,male,2,own,little,not_known,5117,27,business,26
0,male,2,rent,little,little,902,12,education,21
1,male,1,own,little,not_known,1495,12,car,38
1,male,3,free,little,little,10623,30,car,38
1,male,2,own,little,not_known,1935,12,furniture/equipment,43
1,male,2,own,little,moderate,1424,12,domestic appliances,26
1,male,1,own,little,little,6568,24,business,21
1,male,2,own,rich,not_known,1413,12,car,55
1,male,2,own,not_known,not_known,3074,9,radio/TV,33
1,female,1,own,not_known,not_known,3835,36,radio/TV,45
0,male,2,own,little,little,5293,27,business,50
0,male,3,own,little,rich,1908,30,business,66
1,male,2,own,not_known,not_known,3342,36,radio/TV,51
1,female,1,own,not_known,moderate,932,6,education,39
1,male,2,own,little,little,3104,18,business,31
1,male,2,own,little,rich,3913,36,radio/TV,23
1,male,1,rent,little,little,3021,24,furniture/equipment,24
1,female,2,own,little,not_known,1364,10,car,64
1,male,1,own,little,moderate,625,12,radio/TV,26
1,female,2,rent,not_known,little,1200,12,education,23
1,male,2,own,little,not_known,707,12,radio/TV,30
1,male,2,own,not_known,not_known,2978,24,business,32
1,male,2,own,little,not_known,4657,15,car,30
1,male,2,own,little,not_known,2613,36,repairs,27
0,male,2,own,rich,moderate,10961,48,radio/TV,27
0,male,3,free,little,little,7865,12,furniture/equipment,53
0,male,2,own,little,not_known,1478,9,radio/TV,22
1,male,2,free,little,little,3149,24,furniture/equipment,22
0,male,2,own,little,rich,4210,36,radio/TV,26
1,male,1,free,quite rich,not_known,2507,9,car,51
1,male,2,own,moderate,not_known,2141,12,radio/TV,35
1,male,1,own,little,moderate,866,18,radio/TV,25
1,male,1,own,little,not_known,1544,4,radio/TV,42
0,male,3,own,little,little,1823,24,radio/TV,30
0,male,0,own,not_known,moderate,14555,6,car,23
0,male,1,rent,moderate,moderate,2767,21,business,61
1,female,2,own,little,not_known,1291,12,radio/TV,35
1,male,2,own,little,little,2522,30,radio/TV,39
0,female,2,own,not_known,little,915,24,car,29
1,male,2,own,little,not_known,1595,6,radio/TV,51
0,male,2,free,little,little,4605,48,car,24
1,female,2,own,little,not_known,1185,12,business,27
1,female,1,own,quite rich,not_known,3447,12,education,35
1,male,2,own,little,not_known,1258,24,business,25
1,male,2,own,little,not_known,717,12,radio/TV,52
1,male,2,rent,moderate,not_known,1204,6,car,35
1,male,2,own,little,rich,1925,24,furniture/equipment,26
0,female,2,rent,little,not_known,433,18,radio/TV,22
1,female,1,own,rich,little,666,6,car,39
1,female,1,own,little,rich,2251,12,furniture/equipment,46
0,female,2,own,little,moderate,2150,30,car,24
1,male,2,own,moderate,not_known,4151,24,furniture/equipment,35
1,male,2,own,not_known,moderate,2030,9,furniture/equipment,24
1,male,1,own,not_known,moderate,7418,60,radio/TV,27
1,male,1,own,little,not_known,2684,24,radio/TV,35
0,male,2,free,little,little,2149,12,radio/TV,29
1,female,2,own,moderate,not_known,3812,15,car,23
1,female,1,own,moderate,not_known,1154,11,radio/TV,57
1,male,2,own,little,little,1657,12,furniture/equipment,27
1,female,2,own,little,little,1603,24,radio/TV,55
1,male,3,free,little,little,5302,18,car,36
1,female,1,free,little,not_known,2748,12,education,57
1,male,1,own,little,not_known,1231,10,car,32
0,male,2,own,little,moderate,802,15,radio/TV,37
1,male,2,own,not_known,not_known,6304,36,business,36
1,female,2,own,little,not_known,1533,24,radio/TV,38
0,male,3,own,little,little,8978,14,car,45
1,male,2,own,not_known,not_known,999,24,radio/TV,25
1,male,2,own,not_known,not_known,2662,18,car,32
1,female,2,rent,quite rich,not_known,1402,12,furniture/equipment,37
1,male,3,free,not_known,moderate,12169,48,car,36
0,male,2,own,little,moderate,3060,48,radio/TV,28
0,male,1,own,little,little,11998,30,repairs,34
1,male,2,own,little,not_known,2697,9,radio/TV,32
1,female,2,own,little,not_known,2404,18,radio/TV,26
1,male,1,own,not_known,little,1262,12,furniture/equipment,49
0,female,2,own,little,not_known,4611,6,furniture/equipment,32
1,male,3,rent,moderate,not_known,1901,24,radio/TV,29
1,male,2,rent,rich,not_known,3368,15,car,23
1,male,2,own,little,not_known,1574,12,furniture/equipment,50
1,male,1,own,not_known,rich,1445,18,radio/TV,49
1,male,2,own,not_known,not_known,1520,15,furniture/equipment,63
1,male,2,own,moderate,moderate,3878,24,car,37
1,female,1,own,little,little,10722,47,car,35
1,male,2,own,little,little,4788,48,car,26
1,male,3,free,moderate,moderate,7582,48,vacation/others,31
1,female,2,own,little,moderate,1092,12,radio/TV,49
0,male,2,own,little,little,1024,24,radio/TV,48
1,male,2,own,little,not_known,1076,12,business,26
0,male,3,rent,little,moderate,9398,36,car,28
1,female,3,free,little,little,6419,24,car,44
1,male,2,free,little,rich,4796,42,car,56
1,male,3,own,not_known,not_known,7629,48,business,46
0,female,2,own,little,moderate,9960,48,furniture/equipment,26
1,female,2,rent,not_known,not_known,4675,12,car,20
1,male,1,own,not_known,not_known,1287,10,car,45
1,male,2,own,little,not_known,2515,18,furniture/equipment,43
1,male,2,own,rich,moderate,2745,21,furniture/equipment,32
1,female,0,own,little,not_known,672,6,car,54
0,female,2,own,little,moderate,3804,36,radio/TV,42
0,male,1,own,not_known,rich,1344,24,car,37
1,male,2,own,little,little,1038,10,car,49
0,male,2,free,quite rich,not_known,10127,48,car,44
1,male,2,own,rich,not_known,1543,6,furniture/equipment,33
1,female,1,rent,not_known,not_known,4811,30,car,24
0,male,1,own,moderate,little,727,12,radio/TV,33
0,female,2,own,little,moderate,1237,8,furniture/equipment,24
1,male,1,rent,little,moderate,276,9,car,22
1,male,0,free,not_known,moderate,5381,48,vacation/others,40
1,male,2,own,moderate,not_known,5511,24,furniture/equipment,25
1,female,2,own,little,rich,3749,24,furniture/equipment,26
0,male,1,own,little,moderate,685,12,car,25
1,male,1,own,not_known,rich,1494,4,car,29
0,male,2,own,little,little,2746,36,furniture/equipment,31
1,male,1,own,little,little,708,12,furniture/equipment,38
1,female,1,own,not_known,moderate,4351,24,furniture/equipment,48
1,male,2,own,little,not_known,701,12,education,32
1,female,1,own,little,little,3643,15,furniture/equipment,27
0,male,3,own,little,moderate,4249,30,car,28
0,male,2,own,little,little,1938,24,radio/TV,32
1,male,3,free,little,little,2910,24,car,34
1,male,2,own,rich,little,2659,18,furniture/equipment,28
1,female,2,own,little,not_known,1028,18,car,36
1,male,1,own,little,little,3398,8,car,39
1,male,2,rent,not_known,not_known,5801,12,furniture/equipment,49
1,female,2,own,rich,not_known,1525,24,car,34
1,male,2,own,little,rich,4473,36,radio/TV,31
1,male,2,own,little,moderate,1068,6,radio/TV,28
1,male,3,free,little,little,6615,24,car,75
0,female,2,own,moderate,not_known,1864,18,education,30
0,female,3,own,moderate,moderate,7408,60,car,24
0,female,1,rent,moderate,not_known,11590,48,car,24
0,male,2,rent,little,little,4110,24,furniture/equipment,23
0,male,3,rent,little,little,3384,6,furniture/equipment,44
1,female,1,own,little,moderate,2101,13,radio/TV,23
0,female,2,rent,not_known,little,1275,15,domestic appliances,24
1,male,2,own,little,little,4169,24,furniture/equipment,28
1,male,1,own,little,moderate,1521,10,furniture/equipment,31
1,female,2,free,little,moderate,5743,24,education,24
1,female,1,rent,little,little,3599,21,furniture/equipment,26
1,male,2,rent,quite rich,moderate,3213,18,radio/TV,25
1,male,3,own,little,moderate,4439,18,business,33
1,male,1,own,little,rich,3949,10,car,37
1,female,1,own,little,not_known,1459,15,radio/TV,43
1,male,2,own,little,moderate,882,13,radio/TV,23
1,female,0,rent,quite rich,moderate,3758,24,radio/TV,23
1,male,1,own,moderate,not_known,1743,6,business,34
0,male,2,free,rich,moderate,1136,9,education,32
1,female,2,rent,little,not_known,1236,9,domestic appliances,23
0,female,2,own,little,moderate,959,9,furniture/equipment,29
1,male,3,own,not_known,not_known,3229,18,car,38
0,male,2,rent,little,little,6199,12,radio/TV,28
1,male,2,free,quite rich,not_known,727,10,education,46
0,male,1,own,little,moderate,1246,24,car,23
1,male,2,own,not_known,not_known,2331,12,radio/TV,49
0,male,3,own,little,not_known,4463,36,radio/TV,26
1,male,2,own,little,not_known,776,12,radio/TV,28
0,female,2,rent,little,little,2406,30,furniture/equipment,23
1,male,2,free,not_known,moderate,1239,18,education,61
1,male,3,own,not_known,rich,3399,12,radio/TV,37
1,female,2,own,little,rich,2247,12,car,36
1,male,2,rent,little,not_known,1766,6,furniture/equipment,21
0,male,0,own,little,little,2473,18,furniture/equipment,25
1,male,2,own,little,not_known,1542,12,business,36
1,male,2,own,little,not_known,3850,18,car,27
1,female,2,rent,little,little,3650,18,furniture/equipment,22
0,male,2,own,little,little,3446,36,furniture/equipment,42
1,female,2,rent,little,moderate,3001,18,furniture/equipment,40
1,male,2,own,not_known,not_known,3079,36,car,36
1,male,2,own,little,not_known,6070,18,radio/TV,33
1,female,2,rent,little,not_known,2146,10,furniture/equipment,23
1,male,3,free,not_known,not_known,13756,60,car,63
0,female,3,free,moderate,moderate,14782,60,vacation/others,60
0,female,2,rent,little,little,7685,48,business,37
1,male,2,own,little,not_known,2320,18,radio/TV,34
1,male,2,free,not_known,not_known,846,7,radio/TV,36
0,male,3,free,little,moderate,14318,36,car,57
1,female,1,own,moderate,not_known,362,6,car,52
1,male,2,own,not_known,little,2212,20,furniture/equipment,39
0,female,3,free,little,moderate,12976,18,car,38
1,female,2,rent,not_known,not_known,1283,22,car,25
1,male,2,own,little,rich,1330,12,car,26
1,male,1,own,moderate,not_known,4272,30,business,26
1,female,2,own,little,not_known,2238,18,radio/TV,25
1,female,2,rent,not_known,not_known,1126,18,radio/TV,21
1,male,3,own,little,moderate,7374,18,furniture/equipment,40
1,male,2,own,quite rich,moderate,2326,15,business,27
1,female,2,own,little,not_known,1449,9,business,27
1,male,3,own,little,not_known,1820,18,car,30
1,female,1,rent,rich,moderate,983,12,furniture/equipment,19
1,male,3,free,little,little,3249,36,car,39
1,female,2,own,little,little,1957,6,radio/TV,31
1,male,3,own,little,not_known,2406,9,furniture/equipment,31
1,male,2,rent,moderate,moderate,11760,39,education,32
1,female,3,free,little,little,2578,12,furniture/equipment,55
1,male,2,own,little,little,2348,36,furniture/equipment,46
0,male,2,rent,little,moderate,1223,12,car,46
1,female,1,own,rich,not_known,1516,24,radio/TV,43
1,male,2,own,little,not_known,1473,18,radio/TV,39
1,male,2,own,not_known,moderate,1887,18,business,28
0,male,2,own,little,not_known,8648,24,business,27
1,male,1,own,little,not_known,802,14,car,27
1,male,2,own,not_known,moderate,2899,18,car,43
0,male,2,own,little,moderate,2039,24,radio/TV,22
1,male,2,own,not_known,not_known,2197,24,car,43
1,male,2,own,little,little,1053,15,radio/TV,27
1,male,3,own,quite rich,not_known,3235,24,radio/TV,26
0,male,2,own,quite rich,rich,939,12,car,28
1,female,2,own,little,moderate,1967,24,radio/TV,20
1,male,3,own,little,not_known,7253,33,car,35
0,male,3,own,little,not_known,2292,12,business,42
1,male,1,rent,quite rich,not_known,1597,10,car,40
0,female,2,own,not_known,little,1381,24,car,35
1,male,2,own,little,not_known,5842,36,car,35
0,male,1,own,little,little,2579,12,car,33
1,female,2,rent,not_known,little,8471,18,education,23
1,female,3,own,quite rich,not_known,2782,21,car,31
0,female,2,own,not_known,moderate,1042,18,car,33
1,female,2,rent,rich,not_known,3186,15,car,20
1,male,2,own,not_known,moderate,2028,12,car,30
1,male,1,own,little,moderate,958,12,car,47
1,male,3,own,moderate,not_known,1591,21,furniture/equipment,34
0,female,2,own,not_known,moderate,2762,12,furniture/equipment,25
1,male,2,rent,little,moderate,2779,18,car,21
1,male,2,own,little,not_known,2743,28,radio/TV,29
1,male,2,own,rich,not_known,1149,18,radio/TV,46
1,male,2,own,little,not_known,1313,9,furniture/equipment,20
0,female,0,free,little,little,1190,18,repairs,55
1,male,1,own,little,not_known,3448,5,business,74
0,male,3,own,little,moderate,11328,24,vacation/others,29
1,male,3,free,little,little,1872,6,furniture/equipment,36
1,male,2,own,little,not_known,2058,24,repairs,33
1,male,2,own,little,little,2136,9,furniture/equipment,25
0,male,2,own,not_known,moderate,1484,12,radio/TV,25
1,male,1,rent,quite rich,not_known,660,6,repairs,23
1,female,2,own,rich,not_known,1287,24,car,37
1,male,0,own,little,little,3394,42,repairs,65
0,female,0,own,little,rich,609,12,business,26
1,male,3,own,little,not_known,1884,12,car,39
1,female,2,own,little,little,1620,12,furniture/equipment,30
1,male,2,own,little,moderate,2629,20,vacation/others,29
0,male,1,own,little,not_known,719,12,education,41
0,female,3,own,little,moderate,5096,48,furniture/equipment,30
1,female,1,rent,not_known,not_known,1244,9,education,41
0,female,2,own,little,little,1842,36,car,34
1,male,2,own,little,moderate,2576,7,radio/TV,35
1,female,3,own,not_known,rich,1424,12,furniture/equipment,55
0,male,2,own,rich,moderate,1512,15,repairs,61
1,male,3,own,not_known,not_known,11054,36,car,30
1,female,2,own,little,not_known,518,6,radio/TV,29
1,male,2,own,little,not_known,2759,12,furniture/equipment,34
1,male,3,own,little,not_known,2670,24,car,35
0,male,2,own,little,little,4817,24,car,31
1,female,3,own,little,not_known,2679,24,car,29
1,male,2,rent,little,little,3905,11,car,36
0,male,2,free,little,little,3386,12,car,35
1,female,2,own,little,little,343,6,domestic appliances,27
1,male,2,own,little,not_known,4594,18,radio/TV,32
1,male,2,own,little,little,3620,36,furniture/equipment,37
1,male,2,own,little,little,1721,15,car,36
1,female,3,rent,little,moderate,3017,12,furniture/equipment,34
1,male,2,own,not_known,moderate,754,12,education,38
1,male,2,own,little,not_known,1950,18,business,34
1,male,2,own,little,little,2924,24,car,63
0,female,1,rent,little,little,1659,24,radio/TV,29
1,male,2,own,not_known,not_known,7238,48,radio/TV,32
1,female,2,own,little,not_known,2764,33,business,26
1,male,1,own,little,not_known,4679,24,car,35
0,male,2,rent,moderate,moderate,3092,24,radio/TV,22
0,female,2,own,little,little,448,6,education,23
0,male,1,own,little,little,654,9,car,28
1,male,3,own,not_known,not_known,1238,6,education,36
0,male,2,own,little,moderate,1245,18,radio/TV,33
0,female,2,rent,little,little,3114,18,furniture/equipment,26
1,male,2,own,quite rich,not_known,2569,39,car,24
1,male,2,own,little,rich,5152,24,radio/TV,25
1,male,1,own,moderate,moderate,1037,12,business,39
1,male,2,own,little,little,1478,15,furniture/equipment,44
1,female,1,own,little,moderate,3573,12,radio/TV,23
1,male,2,own,little,moderate,1201,24,car,26
1,female,2,rent,rich,little,3622,30,furniture/equipment,57
1,female,2,own,rich,not_known,960,15,furniture/equipment,30
1,male,2,own,quite rich,not_known,1163,12,car,44
0,male,3,own,little,moderate,1209,6,car,47
1,male,2,own,little,not_known,3077,12,radio/TV,52
1,female,2,free,little,not_known,3757,24,car,62
1,male,1,rent,moderate,not_known,1418,10,car,35
1,male,2,rent,little,not_known,3518,6,car,26
1,male,2,own,little,not_known,1934,12,radio/TV,26
0,female,3,free,little,moderate,8318,27,business,42
1,female,2,own,moderate,not_known,1237,6,radio/TV,27
1,male,2,own,not_known,moderate,368,6,radio/TV,38
1,male,1,rent,little,little,2122,12,car,39
0,male,2,own,not_known,little,2996,24,furniture/equipment,20
